cust_id,lookalikes
C0001,"[('C0137', 0.9896858063304705), ('C0152', 0.9867584702259875), ('C0191', 0.9803805481770957)]"
C0002,"[('C0043', 0.9846244763893289), ('C0142', 0.9775313657710754), ('C0027', 0.9703533208185054)]"
C0003,"[('C0025', 0.9568228412937883), ('C0071', 0.9355431051044028), ('C0112', 0.9342876544287412)]"
C0004,"[('C0108', 0.9840450015081225), ('C0113', 0.9719270070057628), ('C0012', 0.9183802944310204)]"
C0005,"[('C0128', 0.9948531908772384), ('C0123', 0.9928542528727349), ('C0080', 0.9907163068582192)]"
C0006,"[('C0158', 0.9391601771916145), ('C0168', 0.9323778978479111), ('C0048', 0.8781124023169875)]"
C0007,"[('C0078', 0.9848911461251485), ('C0115', 0.9633589491777249), ('C0146', 0.9616398088526522)]"
C0008,"[('C0109', 0.9797607043850723), ('C0098', 0.9567443991990934), ('C0090', 0.9467915001931142)]"
C0009,"[('C0061', 0.9586900031644058), ('C0167', 0.9435068731196792), ('C0198', 0.9165714997924177)]"
C0010,"[('C0121', 0.9917813837374917), ('C0111', 0.9478399234966506), ('C0060', 0.9349982586250567)]"
C0011,"[('C0107', 0.9866822013183201), ('C0137', 0.9770307312667195), ('C0001', 0.9613372629440159)]"
C0012,"[('C0102', 0.9677896011863232), ('C0153', 0.9659711437211258), ('C0108', 0.9556554661471816)]"
C0013,"[('C0104', 0.9904228494140749), ('C0099', 0.9860394603087098), ('C0188', 0.9839201439179189)]"
C0014,"[('C0063', 0.9877017668034888), ('C0062', 0.9730512852438978), ('C0197', 0.9627522643841442)]"
C0015,"[('C0058', 0.9948259269871148), ('C0131', 0.9787822502862762), ('C0020', 0.9545654704459556)]"
C0016,"[('C0079', 0.909747235426203), ('C0050', 0.8192808640875613), ('C0042', 0.8082153031579271)]"
C0017,"[('C0075', 0.9875645661046561), ('C0124', 0.9640337856183431), ('C0090', 0.9091806868304829)]"
C0018,"[('C0183', 0.7708553098005799), ('C0067', 0.7557042791503714), ('C0046', 0.7036185731192722)]"
C0019,"[('C0172', 0.9621187517679781), ('C0086', 0.8692669806920895), ('C0081', 0.863099448279818)]"
C0020,"[('C0131', 0.956599020655028), ('C0015', 0.9545654704459556), ('C0005', 0.9469690873735214)]"
